"","MMA001A","MMA001B","MMA002B","MMA003A","MMA003B","MMA004A","MMA004B","MMA005A","MMA005B","MMA006A","MMA006B","MMA007A","MMA007B","MMA008A","MMA008B","MMA009A","MMA009B","MMA010A","MMA010B","MMA011A","MMA011B","MMA012A","MMA012B","MMA013A","MMA013B","MMA014A","MMA014B","MMA015A","MMA015B","MMA016A","MMA016B","MMA017A","MMA017B","MMA018A","MMA018B","MMA018C","MMA018D","MMA019A","MMA019B","MMA020A","MMA020B","MMA021A","MMA021B","MMA022A","MMA022B","MMA023A","MMA023B","MMA024A","MMA024B","MMA025A","MMA025B","MMA026A","MMA026B","MMA027A","MMA027B","MMA028A","MMA028B","MMA029A","MMA029B","MMA030A","MMA030B","MMA031A","MMA031B","MMA032A","MMA032B","MMA033B","MMA034A","MMA034B","MMA035A","MMA035B","MMB001A","MMB001B","MMB002A","MMB002B","MMB003A","MMB003B","MMB004A","MMB004B","MMB005A","MMB005B","MMB006A","MMB006B","MMB007A","MMB007B","MMB008A","MMB008B","MMB008C","MMB009A","MMB009B","MMB010A","MMB010B","MMB011A","MMB011B","MMB012A","MMB012B","MMB013A","MMB013B","MMB014A","MMB014B","MMB015A","MMB015B","MMB016A","MMB016B","MMB016C","MMB018A","MMB018B","MMB019A","MMB020A","MMB020B","MMB021A","MMB021B","MMB022A","MMB022B","MMB023A","MMB023B","MMB024A","MMB024B","MMB025A","MMB025B","MMB026A","MMB026B","MMC001A","MMC001B","MMC002A","MMC002B","MMC003A","MMC003B","MMC005A","MMC006A","MMC006B","MMC007A","MMC007B","MMC008A","MMC008B","MMC010A","MMC010B","MMC011A","MMC011B","MMC012A","MMC012B","MMC013A","MMC013B","MMC014A","MMC014B","MMC015A","MMC015B","MMC016A","MMC016B","MMC017A","MMC017B","MMC018A","MMC018B","MMC019A","MMC019B","MMC020A","MMC020B","MMC021B","MMC022A","MMC022B","MMC023A","MMC023B","MMC024A","MMC024B","MMC025A","MMC025B","MMC026A","MMC026B","MMC026C","MMC027A","MMC027B","MMC029A","MMC029B","MMC030A","MMC030B","MMC031A","MMC031B","MMC032A","MMC032B","MMC033A","MMC033B"
"1984",17.83,18.052,6.338,21.524,21.756,NA,NA,10.446,10.058,20.06,16.072,25.224,23.898,17.182,16.644,20.254,18.952,20.4,18.112,2.644,4.242,13.882,13.828,11.85,11.228,23.268,19.798,19.764,19.904,29.944,29.048,22.344,22.186,82.016,86.956,85.698,85.669,13.87,18.484,24.466,22.986,14.194,13.124,28.346,25.206,20.01,21.648,51.6598,52.5628,23.208,23.454,9.85,11.072,18.658,19.382,30.6,31.226,24.432,21.734,41.356,40.714,40.072,38.148,44.25,44.736,32.92,19.32,19.158,25.468,24.816,65.4599999999999,65.256,17.066,13.318,20.21,17.736,34.146,42.628,11.534,11.712,39.142,35.456,28.208,26.644,62.656,63.592,60.722,46.38,42.29,24.642,26.1,33.01,40.308,18.21,18.224,NA,24.106,15.672,12.506,17.404,15.166,68.112,65.682,64.616,23.002,22.95,33.304,11.964,14.22,12.178,17.566,30.564,34.382,19.524,18.988,40.078,38.672,32.452,31.212,23.126,22.274,27.378,26.724,15.698,15.754,14.238,12.924,7.51,29.456,24.29,9.948,11.55,9.088,9.614,45.554,42.836,29.172,29.596,5.354,6.286,NA,NA,19.99,17.642,4.312,4.292,75.09,83.234,12.214,NA,14.838,17.16,23.394,22.218,28.07,28.13,26.45,11.1,11.418,7.87799999999999,10.84,31.62,28.896,18.936,20.166,40.446,38.72,33.822,25.216,28.538,23.49,22.934,38.426,37.024,23.08,23.662,40.914,40.732,44.414,44.12
"1983",17.722,17.918,6.284,21.42,21.708,NA,NA,10.11,9.63200000000001,19.71,15.832,24.184,23.29,16.762,16.266,19.842,18.418,19.892,17.64,2.436,3.86,13.638,13.632,11.674,11.074,23.08,19.656,19.658,19.812,29.244,28.252,22.124,22.008,81.738,86.712,85.477,85.422,13.756,18.338,24.22,22.748,13.99,12.878,28.29,24.922,19.724,21.498,51.4138,52.3436,22.734,22.964,9.204,10.588,18.114,19.112,30.156,30.776,24.152,21.3,40.64,40.242,39.772,37.432,43.746,44.142,32.306,19.156,18.894,25.122,24.444,65.2639999999999,65.06,16.99,13.022,19.952,17.47,33.352,42.402,11.294,11.59,38.554,34.828,27.984,26.346,62.288,63.338,60.322,46.124,41.49,24.382,25.93,32.786,40.2,18.088,18.104,NA,23.726,15.35,11.664,17.056,14.784,67.702,65.126,64.29,22.44,22.518,33.058,11.458,13.616,11.596,16.978,29.85,33.898,19.188,18.19,39.58,38.086,32.302,30.922,22.978,22.13,26.524,25.846,15.196,15.484,13.802,12.396,6.752,28.276,23.088,9.372,10.874,8.756,9.35600000000001,45.014,42.112,28.994,29.422,4.892,5.91,NA,NA,19.484,17.214,3.814,3.642,74.712,83.078,11.698,NA,14.346,16.862,22.908,21.734,27.736,27.704,25.438,10.564,10.952,7.47399999999999,10.302,30.964,27.922,18.398,20.058,40.326,38.542,33.614,25.066,28.392,22.842,22.714,37.832,36.43,22.678,22.986,40.56,40.404,43.912,43.762
"1982",17.64,17.83,6.192,21.352,21.672,NA,NA,9.968,9.43200000000001,19.248,15.538,23.222,22.714,16.432,15.936,19.556,17.988,19.568,17.334,2.182,3.596,13.478,13.502,11.496,10.854,22.912,19.504,19.49,19.684,28.782,27.492,21.9,21.792,81.439,86.463,85.24,85.126,13.638,18.198,24.002,22.378,13.802,12.642,28.022,24.384,19.56,21.342,51.1722,51.815,22.168,22.522,8.548,10.24,17.452,18.93,29.516,30.138,23.788,20.738,39.86,39.642,39.242,36.844,43.254,43.534,31.548,18.826,18.664,24.774,24.002,64.9459999999999,64.486,16.914,12.896,19.582,17.082,32.492,41.986,11.058,11.356,37.624,34.104,27.466,25.68,61.606,62.644,59.52,45.874,40.956,24.198,25.666,32.568,40.04,18,17.978,NA,23.342,14.968,11.184,16.482,14.418,66.7,63.912,63.576,22.036,22.108,32.77,10.882,13.02,10.996,16.526,29.108,33.224,18.704,17.586,38.99,37.336,31.66,30.236,22.602,21.858,26.052,25.494,14.686,15.24,13.396,11.946,5.974,27.252,21.974,8.91,10.344,8.414,9.08600000000001,44.374,41.428,28.602,29.14,4.142,5.628,NA,NA,19.056,16.488,3.124,3.028,73.912,82.962,11.11,NA,13.742,16.446,22.328,21.136,27.292,27.32,24.472,9.866,10.372,6.922,9.67399999999999,30.252,27.086,17.556,19.978,39.94,38.008,33.086,24.694,28.058,22.268,22.264,36.904,35.99,22.268,22.298,40.026,39.998,43.42,43.296
"1981",17.574,17.73,6.088,21.3,21.656,NA,NA,9.444,8.84400000000001,18.714,15.148,22.318,22.004,16.12,15.456,19.06,17.438,19.024,16.934,1.806,3.306,13.27,13.296,11.268,10.698,22.678,19.306,19.182,19.45,27.956,26.872,21.552,21.482,81.032,86.142,84.841,84.616,13.574,18.052,23.612,21.734,13.594,12.194,27.534,23.71,19.414,21.15,50.4578,50.9816,21.248,21.828,7.754,9.57200000000001,16.998,18.5,28.63,29.174,23.08,19.846,38.658,38.916,38.794,36.092,42.668,42.906,30.88,18.53,18.422,24.426,23.906,64.3639999999999,63.602,16.69,12.592,19.088,16.516,31.548,41.472,10.658,10.866,36.454,33.178,26.73,24.74,60.392,61.698,58.36,45.42,40.606,23.968,25.276,32.064,39.648,17.856,17.814,NA,22.928,14.238,10.368,16.066,13.422,65.2,62.084,61.976,21.58,21.574,32.178,9.598,11.828,9.68199999999998,15.76,28.354,32.306,18.066,16.868,38.108,36.23,30.56,29.332,22.008,21.518,25.024,24.614,14.182,14.972,12.766,11.112,5.272,26.192,NA,7.91,10.032,7.716,8.57000000000001,43.688,40.376,27.872,28.654,3.786,5.13,NA,NA,18.36,15.616,2.69,NA,72.834,82.802,10.242,NA,12.842,15.82,21.642,20.33,26.608,26.702,23.532,9.036,9.762,6.058,8.64199999999999,29.308,26.16,16.886,19.834,39.34,37.36,32.328,24.236,27.656,21.764,21.546,35.874,35.506,21.56,21.582,39.376,39.398,42.724,42.502
"1980",17.422,17.57,5.992,21.05,21.534,NA,NA,9.074,8.42200000000001,18.27,14.802,21.296,21.302,15.584,15.168,18.5,16.822,18.478,16.536,1.444,3.026,13.07,13.148,11.232,10.474,22.478,19.106,18.964,19.252,27.306,25.992,21.222,21.182,80.72,85.883,84.568,84.325,13.448,17.88,23.264,21.072,13.34,12.07,27.204,23.168,19.288,21.004,50.0796,50.7346,20.612,21.252,6.924,9.04200000000001,16.652,18.168,28.222,28.36,22.572,19.126,37.76,38.374,38.452,35.226,42.036,42.338,30.156,18.17,18.118,23.926,23.454,64.0219999999999,62.982,16.466,12.4,18.632,16.058,31.004,40.91,10.288,10.388,35.942,32.35,26.266,24.078,59.454,60.998,57.45,45.164,40.41,23.712,24.952,31.796,39.448,17.702,17.456,NA,22.55,13.794,9.61399999999999,15.65,12.79,64.436,61.002,60.288,21.156,21.208,31.872,8.624,10.828,9.02399999999998,15.31,27.404,31.298,17.46,16.172,37.294,35.48,29.838,28.644,21.544,21.198,23.816,23.694,13.736,14.812,12.204,10.352,4.794,24.484,NA,7.246,9.318,7.028,8.07200000000001,43.104,39.642,27.3,28.146,3.268,4.612,NA,NA,17.808,14.794,NA,NA,72.394,82.694,9.442,NA,11.856,15.09,21.02,19.498,26.004,26.164,22.778,8.258,9.14,5.17,7.53799999999999,28.722,25.622,16.202,19.524,38.88,36.916,31.832,23.616,27.2,21.018,21.164,34.41,34.618,20.934,20.854,39.084,39.074,42.3,41.96
"1979",17.304,17.432,5.856,20.808,21.418,NA,NA,8.642,7.82800000000001,17.746,14.316,20.286,20.506,15.084,14.616,17.722,16.092,17.944,16.22,0.944,2.738,12.74,12.9,11.01,10.26,22.284,18.924,18.762,19.072,26.77,25.102,20.854,20.85,80.337,85.598,84.29,84.018,13.294,17.7,22.876,20.278,13.182,11.796,26.836,22.442,19.196,20.854,49.5286,50.3656,19.852,20.558,6.31,8.55000000000001,16.158,17.804,27.454,27.326,22.052,18.396,36.634,37.614,37.808,34.408,41.43,41.764,29.386,17.872,17.644,23.45,22.858,63.1959999999999,61.68,16.166,12.216,17.988,15.474,30.276,40.038,9.82200000000001,10.004,34.996,31.206,25.622,23.22,57.904,59.732,56.53,44.908,40.188,23.484,24.652,31.504,39.3,17.422,17.132,NA,22.018,13.366,8.59399999999999,14.614,12.238,63.408,59.12,57.804,20.444,20.678,31.25,7.58,NA,8.60599999999998,14.732,26.02,29.988,16.732,15.338,36.42,34.462,28.854,27.696,21.04,20.842,22.75,22.886,13.136,14.328,11.458,9.39600000000001,4.46,22.964,NA,6.612,8.66,6.322,7.54400000000001,42.494,38.67,26.68,27.58,2.728,4.068,NA,NA,17.24,13.818,NA,NA,71.882,82.562,8.518,NA,10.704,14.236,20.372,18.744,25.264,25.434,21.284,7.32,8.454,4.124,6.28199999999999,28.136,25.078,15.546,18.58,38.166,36.168,31.208,23.118,26.922,20.43,20.572,32.666,34.14,20.264,20.156,38.796,38.752,41.91,41.468
"1978",17.158,17.168,5.786,20.648,21.372,NA,NA,8.11,7.21400000000001,17.042,13.57,19.626,19.83,14.874,14.308,16.952,15.488,17.22,15.672,0.618,2.478,12.538,12.59,10.766,10.17,22.104,18.74,18.536,18.752,26.194,24.358,20.478,20.402,79.948,85.234,83.937,83.652,13.13,17.432,22.424,19.606,12.984,11.508,26.502,21.936,19.06,20.664,48.666,49.9062,18.962,19.756,5.594,8.07400000000001,15.692,17.112,26.508,26.466,21.378,17.554,35.332,36.814,37.44,33.16,41.01,41.414,28.666,17.626,17.262,23.262,22.574,62.6039999999999,60.816,15.932,11.96,17.42,14.776,29.294,39.062,9.50000000000001,9.85999999999999,33.84,30.2,24.958,22.388,56.956,59.21,56.076,44.588,39.968,23.234,24.36,31.12,38.988,17.146,16.702,NA,21.596,12.894,7.60799999999999,13.734,11.25,62.874,57.654,56.206,19.464,19.86,30.544,7.052,NA,8.20799999999998,13.168,24.796,28.946,16.278,14.726,35.868,33.754,27.71,27.136,20.5,20.446,21.814,22.172,12.704,14.074,10.9,8.62000000000001,4.138,21.646,NA,5.906,7.94,5.644,6.99400000000001,41.796,37.756,26.298,27.306,2.094,3.318,NA,NA,16.552,13.022,NA,NA,71.276,82.21,7.376,NA,9.594,13.498,19.704,18.022,24.33,24.582,20.124,NA,7.568,3.294,NA,27.506,24.554,14.868,17.942,37.852,35.716,30.762,22.898,26.808,19.936,19.974,31.448,33.946,19.478,19.612,38.408,38.352,41.358,40.882
"1977",17.07,16.9,5.76,20.336,21.272,NA,NA,7.612,6.56400000000001,16.448,12.762,18.808,19.126,14.602,14.056,16.324,14.908,16.662,15.072,0.32,2.43,12.098,12.22,10.642,10.038,21.916,18.494,18.238,18.476,25.308,23.698,20.13,19.864,79.477,84.762,83.589,83.281,12.99,17.204,22.102,18.988,12.762,11.284,26.084,21.39,18.92,20.47,47.8158,49.082,18.264,19.206,5.002,7.58200000000001,15.392,16.496,25.772,25.698,20.7,16.686,33.814,35.898,37.07,31.976,40.464,40.812,28.156,17.272,16.892,22.992,22.392,61.9279999999999,59.928,15.684,11.682,16.866,14.142,28.076,38.188,9.23200000000001,9.64599999999999,32.712,29.226,24.418,21.534,55.936,58.422,55.38,44.19,39.75,22.982,24.016,30.856,38.788,16.914,16.372,NA,21.28,12.57,6.48799999999999,13.222,10.41,62.384,56.24,55.24,18.54,19.12,29.41,5.89,NA,NA,12.056,23.62,27.91,15.91,14.268,35.172,33.05,26.848,26.478,20.042,20.11,20.902,21.168,12.326,13.862,10.178,7.79800000000001,3.858,NA,NA,5.154,7.444,4.914,6.46400000000001,40.974,36.864,26.036,27.094,NA,NA,NA,NA,15.86,12.416,NA,NA,70.38,81.916,6.212,NA,8.61800000000001,12.926,19.102,17.298,23.382,23.884,18.904,NA,6.806,2.512,NA,26.652,23.962,14.68,17.834,37.53,35.302,30.178,22.652,26.718,19.46,19.208,31.134,33.75,18.784,19.404,37.848,37.85,40.816,40.256
"1976",16.952,16.69,5.734,20.188,21.202,NA,NA,7.066,NA,15.832,12.22,18.118,18.558,14.188,13.726,15.852,14.458,16.184,14.624,0.258,2.34,11.588,11.962,10.546,9.874,21.684,18.256,17.872,17.97,24.57,23.076,19.78,19.348,79.013,84.389,83.284,82.925,12.818,17.032,21.706,18.602,12.562,11.08,25.792,20.978,18.766,20.282,47.3418,48.2218,17.716,18.712,4.53,7.08200000000001,15.34,16.034,24.994,25.084,20.042,16.106,32.478,35.254,36.442,31.26,40.03,40.166,27.536,16.938,16.528,22.796,22.214,61.5679999999999,59.594,15.386,11.412,16.38,13.6,27.238,37.622,9.18800000000001,9.61999999999999,31.752,28.022,23.9,20.494,55.136,57.998,54.874,43.886,39.556,22.83,23.716,30.64,38.676,16.628,16.216,NA,20.982,12.228,5.72799999999999,12.164,9.94400000000001,61.916,55.148,54.384,17.946,18.394,28.618,5.08,NA,NA,11.09,22.562,26.856,15.582,13.962,34.366,31.964,26.192,25.794,19.714,19.826,19.996,20.052,11.852,13.66,9.288,6.96600000000001,3.544,NA,NA,4.746,6.804,4.19,5.76800000000001,40.332,36.132,25.886,26.904,NA,NA,NA,NA,15.406,12.072,NA,NA,69.87,81.654,5.092,NA,7.49600000000001,12.21,18.366,16.558,22.606,23.104,17.718,NA,6.034,2.128,NA,25.766,23.374,14.108,17.754,37.224,35.04,29.754,22.532,26.638,19.03,18.382,NA,33.58,18.116,18.54,37.392,37.546,40.214,39.566
"1975",16.742,16.312,5.682,19.946,21.086,NA,NA,6.758,NA,15.12,11.638,17.32,17.846,13.79,13.196,15.316,13.864,15.602,13.964,0.0440000000000004,2.276,11.048,11.536,10.408,9.704,21.424,18.026,17.568,17.564,23.984,22.4,19.296,18.78,78.589,84.057,83.028,82.633,NA,16.814,21.144,18.05,12.376,11.004,25.456,20.4,18.434,19.896,46.9324,47.2012,17.132,18.272,4,6.60000000000001,15.224,15.342,24.394,24.368,19.132,15.306,31.348,34.598,35.008,30.438,39.316,39.226,26.99,16.624,15.964,22.392,22.028,60.7839999999999,58.848,15.062,10.994,15.864,12.972,26.258,36.994,9.16600000000001,9.60799999999999,30.566,26.518,23.136,19.196,54.12,56.904,54.21,43.436,39.19,22.678,23.436,30.3,38.586,16.348,16.11,NA,20.66,11.81,NA,11.352,9.16600000000001,60.548,53.654,53.07,17.54,17.71,27.958,4.496,NA,NA,10.326,21.584,25.974,15.156,13.452,33.606,30.868,25.422,25.042,19.308,19.476,19.204,19.34,11.282,13.37,8.564,6.16000000000001,3.172,NA,NA,4.502,6.264,3.374,5.05400000000001,39.738,35.218,25.602,26.558,NA,NA,NA,NA,14.766,11.662,NA,NA,69.018,81.438,3.898,NA,6.37000000000001,11.464,17.222,15.614,21.748,22.092,16.72,NA,5.198,1.538,NA,24.556,22.638,13.51,17.628,36.408,34.276,28.636,22.33,26.496,18.71,17.538,NA,33.332,17.226,17.772,36.916,37.226,39.602,39.024
"1974",16.6,15.98,5.652,19.86,20.98,NA,NA,6.732,NA,14.454,11.02,16.724,17.238,13.604,12.792,14.904,13.362,15.048,13.236,-0.23,NA,10.66,11.038,10.24,9.464,21.18,17.826,17.246,17.132,23.414,22.118,18.752,18.352,78.201,83.761,82.826,82.331,NA,16.618,20.696,17.546,12.044,10.752,25.236,20.102,18.108,19.448,46.2484,46.6394,16.712,17.946,3.738,6.38800000000001,15.044,14.722,23.71,23.786,18.266,14.222,30.234,33.916,34.114,29.574,38.628,38.016,26.434,16.34,15.556,22.13,21.904,59.9339999999999,57.788,14.794,10.516,15.47,12.538,25.016,36.622,9.15000000000001,9.59199999999999,29.508,25.272,22.556,18.282,53.142,55.51,53.452,43,38.89,22.326,23.132,30.024,38.502,16.036,15.822,NA,20.148,NA,NA,10.782,8.408,59.076,51.996,51.612,17.264,17.18,27.29,3.916,NA,NA,9.34400000000001,20.926,25.154,14.69,12.904,32.912,29.984,24.41,24.136,18.94,19.15,18.566,18.788,10.84,13.118,7.82,5.40600000000001,2.756,NA,NA,4.19,5.47,2.642,4.35200000000001,38.95,34.136,25.312,26.324,NA,NA,NA,NA,14.044,11.286,NA,NA,68.834,81.294,NA,NA,5.57200000000001,10.818,16.204,14.832,21.076,21.23,16.05,NA,4.79,1.168,NA,23.868,22.042,12.932,17.45,35.46,33.44,27.536,22.076,26.3,18.188,16.81,NA,33.198,16.582,17.276,36.31,36.748,39.022,38.606
"1973",16.336,15.786,5.536,19.726,20.86,NA,NA,6.68,NA,14.07,10.662,16.26,16.682,13.454,12.374,14.696,12.934,14.722,12.86,-0.474,NA,10.392,10.6,10.092,9.146,21.002,17.67,17.116,16.93,22.956,21.454,18.294,18.036,77.976,83.546,82.683,82.162,NA,16.372,20.186,16.98,11.84,10.532,25.082,19.864,17.82,19.116,45.1876,46.245,16.384,17.748,3.584,6.24000000000001,14.804,14.492,23.468,23.484,17.684,13.52,29.492,33.582,33.708,29.024,38.06,37.072,26.012,16.21,15.172,21.74,21.738,59.0379999999999,56.89,14.432,10.03,15.032,12.212,23.834,36.06,9.12600000000001,9.57199999999999,28.836,24.456,21.996,17.49,52.038,54.506,52.706,42.658,38.574,22.044,22.912,29.646,38.342,15.776,15.46,NA,NA,NA,NA,9.794,8.04800000000001,57.566,50.52,50.348,16.992,16.704,26.794,3.144,NA,NA,8.67400000000001,20.394,24.484,14.476,12.592,32.488,29.446,23.336,23.5,18.536,18.826,17.968,18.23,10.348,12.778,7.344,4.87200000000001,2.41,NA,NA,3.854,4.55,2.146,3.76800000000001,38.358,33.34,25.068,26.188,NA,NA,NA,NA,13.534,11.172,NA,NA,68.114,80.85,NA,NA,4.93200000000001,10.232,15.558,14.308,20.548,20.572,15.458,NA,4.478,0.899999999999995,NA,23.466,21.746,12.416,17.034,34.446,32.272,26.042,21.61,26.08,17.662,16.57,NA,33.09,16.236,17.192,35.726,36.31,38.58,38.166
"1972",16.168,15.498,5.486,19.63,20.724,NA,NA,6.596,NA,13.952,10.584,15.93,16.288,13.288,11.996,14.572,12.67,14.428,12.534,-0.494,NA,9.91800000000001,10.246,9.912,8.848,20.84,17.472,17.026,16.83,22.296,20.868,17.914,17.692,77.751,83.31,82.476,81.963,NA,16.2,19.782,16.582,11.624,10.198,25.028,19.756,17.586,18.914,43.9962,45.8254,16.188,17.6,3.51,6.17600000000001,14.602,14.342,23.274,23.3,17.262,13.086,29.076,33.26,33.498,28.81,37.538,36.264,25.432,16.088,14.956,21.636,21.496,58.3479999999999,56.168,13.97,10,14.596,11.79,23.032,35.504,9.09200000000001,9.54199999999999,28.526,24.172,21.65,16.93,51.078,53.41,51.874,42.47,38.4,21.868,22.802,29.128,38.13,15.55,15.16,NA,NA,NA,NA,8.916,7.62200000000001,55.588,48.962,49.294,16.766,16.372,26.316,2.944,NA,NA,8.42800000000001,19.878,24.188,14.33,12.52,32.162,29.13,22.69,23.17,18.252,18.608,17.324,17.662,10.174,12.594,7.086,4.49600000000001,NA,NA,NA,NA,4.108,1.814,3.43800000000001,37.854,32.598,24.818,26.006,NA,NA,NA,NA,13.286,10.864,NA,NA,67.3,80.366,NA,NA,4.57200000000001,9.836,15.236,13.958,20.146,20.146,15.144,NA,4.182,NA,NA,23.236,21.634,12.058,16.826,33.994,31.298,25.084,21.178,26.002,17.34,16.456,NA,32.99,16.014,17.02,35.402,36.032,38.284,37.792
"1971",16.014,15.326,5.436,19.526,20.67,NA,NA,6.562,NA,13.812,10.534,15.704,16.058,13.154,11.816,14.316,12.22,14.082,12.166,-0.566,NA,9.57800000000001,9.914,9.656,8.812,20.688,17.246,16.922,16.7,21.852,20.34,17.626,17.352,77.416,83.015,82.178,81.648,NA,16.08,19.382,16.194,11.432,9.926,24.966,19.628,17.318,18.724,43.3186,45.3266,16.052,17.422,3.424,6.12400000000001,14.428,14.208,22.984,22.996,16.822,12.676,28.664,32.946,33.206,28.462,37.24,35.73,24.736,15.934,14.728,21.596,21.218,57.8359999999999,55.586,13.502,9.672,14.062,11.154,22.394,35.038,9.05800000000001,9.50199999999999,28.03,23.842,21.326,16.446,50.412,52.782,51.348,42.32,38.258,21.654,22.692,28.576,37.85,15.27,14.962,NA,NA,NA,NA,8.552,7.22400000000001,54.026,48.054,48.65,16.496,16.016,25.954,2.742,NA,NA,NA,19.276,23.814,14.092,12.364,31.962,28.912,22.098,22.954,17.972,18.344,17.018,17.436,10.14,12.578,6.864,4.21400000000001,NA,NA,NA,NA,3.822,1.404,3.05200000000001,37.378,31.958,24.67,25.834,NA,NA,NA,NA,13.022,10.49,NA,NA,66.5399999999999,79.976,NA,NA,4.25200000000001,9.456,14.952,13.59,19.77,19.654,15.04,NA,3.93,NA,NA,23.13,21.544,11.664,16.62,33.822,30.926,24.598,20.994,25.942,17.09,16.264,NA,32.902,15.79,16.908,35.09,35.726,38.116,37.614
"1970",15.736,15.038,5.41,19.174,20.586,NA,NA,6.48,NA,13.66,10.416,15.446,15.774,12.938,11.712,14.124,11.922,13.672,11.864,-0.628,NA,9.08200000000001,9.516,9.39,8.774,20.532,16.98,16.724,16.578,20.992,19.792,17.288,17.058,77.06,82.702,81.892,81.328,NA,15.938,18.904,15.72,11.048,9.364,24.882,19.49,16.95,18.5,42.6696,44.41,15.83,17.112,3.296,6.04800000000001,14.264,14.068,22.74,22.76,16.4,12.154,28.09,32.482,32.998,28.24,36.768,35.012,24.22,15.828,14.522,21.552,20.944,57.2259999999999,55.024,13.404,9.09,13.506,10.542,21.764,34.574,9.02800000000001,9.45199999999999,27.024,23.32,20.866,15.97,49.778,52.038,50.662,42.104,38.086,21.398,22.452,28.138,37.59,15.072,14.722,NA,NA,NA,NA,8.106,6.81400000000001,53.07,47.294,47.976,16.182,15.774,25.338,2.53,NA,NA,NA,18.92,23.494,13.838,12.156,31.716,28.59,21.506,22.748,17.68,18.138,16.336,16.74,10.022,12.526,6.588,3.91200000000001,NA,NA,NA,NA,3.394,1.07,2.73200000000001,36.904,31.238,24.506,25.618,NA,NA,NA,NA,12.776,10.094,NA,NA,66.3159999999999,79.506,NA,NA,3.94800000000001,9.124,14.722,13.286,19.406,19.168,14.186,NA,3.68,NA,NA,22.918,21.41,11.32,16.492,33.644,30.274,23.974,20.712,25.864,16.884,16.102,NA,32.8,15.602,16.75,34.774,35.412,37.862,37.336
"1969",15.502,14.808,5.35,18.906,20.53,NA,NA,6.372,NA,13.502,10.348,15.254,15.554,12.622,11.604,13.96,11.63,13.304,11.434,-0.722,NA,8.68200000000001,9.198,8.974,8.332,20.344,16.702,16.556,16.482,20.342,18.974,16.902,16.774,76.659,82.374,81.602,80.985,NA,15.84,18.456,15.278,10.66,8.868,24.776,19.264,16.82,18.364,42.4484,44.0184,15.68,16.922,3.188,5.96400000000001,14.126,14.022,22.558,22.556,16.258,12.076,27.346,31.74,32.638,27.992,36.442,34.406,23.744,15.674,14.334,21.276,20.612,56.844,54.734,13.154,8.608,13.056,10.036,21.41,34.278,8.99000000000001,9.40199999999999,NA,22.618,20.42,15.536,49.46,51.7,50.19,41.944,37.926,21.126,22.316,27.662,37.33,NA,14.622,NA,NA,NA,NA,7.698,6.37800000000001,52.486,46.754,47.546,15.788,15.436,24.838,2.378,NA,NA,NA,18.626,23.112,13.544,11.978,31.462,28.314,20.764,22.49,17.38,17.908,15.9,16.254,9.996,12.506,6.264,3.58600000000001,NA,NA,NA,NA,3.116,0.754000000000002,2.46200000000001,36.492,30.638,24.376,25.51,NA,NA,NA,NA,12.668,9.83600000000002,NA,NA,66.1899999999999,79.086,NA,NA,3.64200000000001,8.782,14.532,13.03,19.08,18.766,13.404,NA,NA,NA,NA,22.698,21.292,11.204,16.15,33.526,29.912,23.544,20.64,25.826,16.66,15.95,NA,32.686,15.482,16.658,34.518,35.2,37.56,36.934
"1968",15.256,14.58,5.342,18.832,20.414,NA,NA,6.304,NA,13.336,10.224,15.032,15.368,12.34,11.436,13.55,11.204,12.928,10.87,-0.82,NA,8.30600000000001,8.8,8.552,7.98,20.136,16.302,16.306,16.296,19.836,18.338,16.356,16.268,76.225,82.055,81.299,80.56,NA,15.76,17.944,14.642,10.018,8.506,24.62,18.974,16.618,18.208,41.8412,43.1514,15.492,16.606,3.068,5.88200000000001,13.782,13.93,22.41,22.272,15.932,11.812,26.416,30.846,32.264,27.718,35.992,33.736,22.94,15.478,14.05,21.09,20.206,56.082,54.408,12.86,7.944,12.476,9.33200000000001,20.13,33.964,8.96000000000001,9.33799999999999,NA,22.09,19.73,14.88,48.862,51.062,49.4,41.714,37.666,20.838,22.178,26.9,37.082,NA,14.518,NA,NA,NA,NA,7.262,NA,51.072,45.998,46.398,15.306,15.098,24.46,NA,NA,NA,NA,18.062,22.386,13.112,11.822,31.206,28.026,19.622,22.05,17.102,17.746,15.484,15.834,9.976,12.488,5.9,NA,NA,NA,NA,NA,2.812,0.436000000000002,NA,36.058,29.878,24.274,25.41,NA,NA,NA,NA,12.474,9.37000000000002,NA,NA,65.8219999999999,78.568,NA,NA,3.36400000000001,8.48,14.29,12.788,18.572,18.196,12.578,NA,NA,NA,NA,22.37,21.104,11.092,15.886,33.38,29.336,22.93,20.504,25.752,16.526,15.68,NA,32.568,15.33,16.552,34.214,34.93,37.176,36.508
