"year" "month" "flds_mean" "flds_total" "fsds_mean" "fsds_total" "prec" "psrf" "rh" "temp" "wind" "temp_max" "temp_min"
1998 1 282.810430188282 210410.960060082 75.4324640455779 56121.7532499099 76.641477976976 98424.5887020086 75.4683611971524 276.44015503879 4.19160971935754 287.609917473183 267.346975412537
1998 2 293.293844458216 197093.463475921 106.978922467499 71889.835898159 55.4472043670155 98404.7975253068 71.2763716081534 278.494990737084 3.95802170764454 289.609917473183 271.371196698867
1998 3 297.718090269043 221502.259160168 151.495951589368 112712.98798249 70.0275475340321 98314.342433002 65.0380282963946 279.319143143731 3.98278140117243 297.832139695405 261.35118169757
1998 4 320.499082976992 230759.339743434 195.415133415886 140698.896059438 152.790930582378 98149.1726069 61.3729909924227 284.911708102274 3.96735678678925 294.989601271279 273.396215450489
1998 5 357.877366695455 266260.760821419 227.083717408614 168950.285752009 72.4940757766799 98202.3116189925 67.4483662586993 292.513739050915 3.42092660504684 301.609917473183 282.098700657543
1998 6 369.479278772785 266025.080716405 262.775570839673 189198.411004564 163.745790281149 98258.6226267903 70.000460015828 295.087097914331 3.21291064399317 303.609917473183 279.74924412872
1998 7 377.188024440051 280627.890183398 261.9246030023 194871.904633711 83.2857322724707 98343.36455866 72.0972229506579 296.345673003369 2.94089091971318 305.609917473183 289.24924412872
1998 8 381.161193468838 283583.927940815 239.504890180304 178191.638294146 20.2738305377066 98371.6174982707 72.8119371265795 297.425195750371 2.92176980031826 302.609917473183 288.648974476645
1998 9 366.992147674591 264234.346325705 195.689196668301 140896.221601177 13.118885897023 98472.0364384238 70.9637115134615 294.427667996976 3.17533129274145 304.498806362072 281.498708991597
1998 10 329.856968323728 245413.584432854 141.784703741913 105487.819583983 101.425096296935 98443.3603827581 66.6414051532263 286.751976657258 3.59180282034248 299.498806362072 274.381204199516
1998 11 303.783137460774 218723.858971757 93.3299946320301 67197.5961350617 59.8638894013984 98499.1538854166 66.7138402581923 281.124071345441 3.9448108573591 292.055350707896 269.28760621454
1998 12 281.635490900946 209536.805230304 64.5308641185227 48010.9629041809 43.7785294878652 98449.652705402 75.8335104948944 276.34007000769 3.85829502732804 293.387695250961 261.446169613192
1999 1 284.970236928004 212017.856274435 60.0854784454426 44703.5959634093 129.589661204207 98425.5425901938 80.6587007535264 271.976700930354 6.01026710923381 286.989993896484 249.271205032921
1999 2 281.341182999143 189061.274975424 104.29316536475 70085.0071251117 115.761130136986 98389.278056542 70.2790199489183 274.103987933375 4.1129345298759 292.286110438643 262.779993896484
1999 3 273.767141449131 203682.753238153 164.089959811187 122082.930099523 37.9 98570.8731305277 60.5037023114308 274.982319899373 3.70569718653743 291.609917473183 264.072993896484
1999 4 327.598544506625 235870.95204477 176.306851698673 126940.933223044 106.8 97979.7093224833 67.5338931395529 286.000424477271 4.28217698285881 295.609917473183 275.368138851447
1999 5 338.65235730736 251957.353836676 246.061915180867 183070.064894565 105.7 98163.4422741372 67.4483662586993 288.621936614783 3.47008939650135 299.609917473183 279.631993896484
1999 6 344.647747735609 248146.378369638 247.989437859231 178552.395258646 106.6 98325.1214833962 70.000460015828 289.977087555352 2.98558423276779 302.832139695405 278.061993896484
1999 7 380.914520889961 283400.403542131 268.107967682562 199472.327955826 107.7 98382.4139588942 72.0972229506579 297.505690715649 3.34970837652639 309.498806362072 288.289993896484
1999 8 369.572825389166 274962.18208954 234.857145169943 174733.716006437 25.3750938153472 98371.6174982707 72.8119371265795 295.126433309894 2.83413320657856 303.539993896484 285.709993896484
1999 9 355.752477095252 256141.783508582 214.247303527775 154258.058539998 33.985 98377.9583453449 70.9637115134615 293.910844967651 3.36097302739742 302.969993896484 279.760324060821
1999 10 311.610197615567 231837.987025982 158.772663990009 118126.862008567 35.1 98489.3381815861 66.6414051532263 287.986950880816 3.81404620645814 299.149993896484 276.868993896484
1999 11 296.048850407079 213155.172293097 97.5800007011268 70257.6005048113 27.1684461161916 98574.3487946942 66.7138402581923 284.010819570969 3.85778704003 296.849993896484 268.146194615354
1999 12 268.762500485897 199959.300361507 63.3403976610662 47125.2558598333 88.9869844137295 98340.0491960373 75.8335104948944 274.693667703581 3.96134738707552 288.429993896484 261.399993896484
2000 1 257.573701542064 191634.833947296 72.5718744337897 53993.4745787395 30.1541853094705 98398.1365844755 75.5557203423613 271.555913082244 4.95074016592299 290.139993896484 254.179993896484
2000 2 281.128966878323 195665.760947313 109.424282296807 76159.3004785775 111.5 98341.907411619 71.3642600051002 277.090509701082 4.86636144914299 295.599993896484 263.984993896484
2000 3 290.957676219562 216472.511107354 170.842702250465 127106.970474346 41.9190861983135 98221.6719156052 65.0380282963946 281.426858934466 4.40491480135724 297.319993896484 267.117993896484
2000 4 309.731747287866 223006.858047263 189.302884914146 136298.077138185 126.891641151385 98059.3667413948 61.3729909924227 284.648032216111 2.61142443606416 295.839993896484 271.980993896484
2000 5 352.595548534564 262331.088109716 220.508011419244 164057.960495918 97.2339336017797 97955.5767429409 67.4483662586993 291.577320827744 2.05135149791203 301.649993896484 279.622993896484
2000 6 361.50180483425 260281.29948066 265.138075048434 190899.414034872 136.3 98256.7473130869 75.2907927251517 294.35871195204 3.68296388888889 302.949993896484 281.701993896484
2000 7 370.265883217098 275477.817113521 250.833226563074 186619.920562927 131.774605134412 98140.734606485 78.7134614634137 295.217700937584 2.86090153527199 302.499993896484 286.669993896484
2000 8 367.357974598879 273314.333101566 229.740235811487 170926.735443746 86.2 98279.8404850613 81.8414692719097 295.290789595409 3.34826209677419 303.459993896484 285.229993896484
