"year" "agg_NEE_year"
1999 -318.673048853917
2000 -306.123269166541
2001 -323.159899862212
2002 -342.448600681106
2003 -302.255584976959
2004 -430.965933996173
2005 -400.219008514286
2006 -365.950395645622
2007 -423.01991941106
2008 -365.052456354794
2009 -227.029338391244
2010 -301.308190775115
2011 -211.645874335023
2012 -298.582197496418
2013 -304.634285166359
