"PlotID","Site","Plot","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VUF1","VUF","B",1923,NA,NA,0,0,1,0,0
"VLF0","VLF","A",1924,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1924,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1924,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1924,NA,NA,0,0,1,0,0
"VLF0","VLF","A",1925,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1925,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1925,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1925,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1926,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1926,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1926,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1926,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1927,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1927,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1927,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1927,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1928,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1928,NA,NA,0,0,0,NA,NA
"VUF0","VUF","A",1928,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1928,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1929,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1929,NA,NA,0,0,1,0,0
"VUF0","VUF","A",1929,NA,NA,0,0,2,0,0
"VUF1","VUF","B",1929,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1930,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1930,NA,NA,0,0,1,0,0
"VUF0","VUF","A",1930,NA,NA,0,0,3,0,0
"VUF1","VUF","B",1930,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1931,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1931,NA,NA,0,0,1,0,0
"VUF0","VUF","A",1931,NA,NA,0,0,5,0,0
"VUF1","VUF","B",1931,NA,NA,0,0,2,0,0
"VLF0","VLF","A",1932,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1932,NA,NA,0,0,1,0,0
"VUF0","VUF","A",1932,NA,NA,0,0,6,0,0
"VUF1","VUF","B",1932,NA,NA,0,0,3,0,0
"VLF0","VLF","A",1933,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1933,NA,NA,0,0,1,0,0
"VUF0","VUF","A",1933,NA,NA,0,0,8,0,0
"VUF1","VUF","B",1933,NA,NA,0,0,6,0,0
"VLF0","VLF","A",1934,NA,NA,0,0,0,NA,NA
"VLF1","VLF","B",1934,NA,NA,0,0,2,0,0
"VUF0","VUF","A",1934,NA,NA,0,0,10,0,0
"VUF1","VUF","B",1934,NA,NA,0,0,10,0,0
"VLF0","VLF","A",1935,NA,NA,0,0,1,0,0
"VLF1","VLF","B",1935,NA,NA,0,0,6,0,0
"VUF0","VUF","A",1935,NA,NA,0,0,11,0,0
"VUF1","VUF","B",1935,NA,NA,0,0,11,0,0
"VLF0","VLF","A",1936,NA,NA,0,0,3,0,0
"VLF1","VLF","B",1936,NA,NA,0,0,7,0,0
"VUF0","VUF","A",1936,NA,NA,0,0,15,0,0
"VUF1","VUF","B",1936,NA,NA,0,0,15,0,0
"VLF0","VLF","A",1937,NA,NA,0,0,4,0,0
"VLF1","VLF","B",1937,NA,NA,0,0,8,0,0
"VUF0","VUF","A",1937,NA,NA,0,0,17,0,0
"VUF1","VUF","B",1937,NA,NA,0,0,21,0,0
"VLF0","VLF","A",1938,NA,NA,0,0,6,0,0
"VLF1","VLF","B",1938,NA,NA,0,0,11,0,0
"VUF0","VUF","A",1938,NA,NA,0,0,18,0,0
"VUF1","VUF","B",1938,NA,NA,0,0,24,0,0
"VLF0","VLF","A",1939,NA,NA,0,0,6,0,0
"VLF1","VLF","B",1939,NA,NA,0,0,11,0,0
"VUF0","VUF","A",1939,NA,NA,0,0,18,0,0
"VUF1","VUF","B",1939,NA,NA,0,0,24,0,0
"VLF0","VLF","A",1940,NA,NA,0,0,7,0,0
"VLF1","VLF","B",1940,NA,NA,0,0,11,0,0
"VUF0","VUF","A",1940,NA,NA,0,0,19,0,0
"VUF1","VUF","B",1940,NA,NA,0,0,25,0,0
"VLF0","VLF","A",1941,NA,NA,0,0,8,0,0
"VLF1","VLF","B",1941,NA,NA,0,0,14,0,0
"VUF0","VUF","A",1941,NA,NA,0,0,19,0,0
"VUF1","VUF","B",1941,NA,NA,0,0,26,0,0
"VLF0","VLF","A",1942,NA,NA,0,0,9,0,0
"VLF1","VLF","B",1942,NA,NA,0,0,14,0,0
"VUF0","VUF","A",1942,NA,NA,0,0,21,0,0
"VUF1","VUF","B",1942,NA,NA,0,0,27,0,0
"VLF0","VLF","A",1943,NA,NA,0,0,9,0,0
"VLF1","VLF","B",1943,NA,NA,0,0,15,0,0
"VUF0","VUF","A",1943,NA,NA,0,0,23,0,0
"VUF1","VUF","B",1943,NA,NA,0,0,28,0,0
"VLF0","VLF","A",1944,NA,NA,0,0,12,0,0
"VLF1","VLF","B",1944,NA,NA,0,0,15,0,0
"VUF0","VUF","A",1944,NA,NA,0,0,24,0,0
"VUF1","VUF","B",1944,NA,NA,0,0,30,0,0
"VLF0","VLF","A",1945,NA,NA,0,0,14,0,0
"VLF1","VLF","B",1945,NA,NA,0,0,16,0,0
"VUF0","VUF","A",1945,NA,NA,0,0,25,0,0
"VUF1","VUF","B",1945,NA,NA,0,0,31,0,0
"VLF0","VLF","A",1946,NA,NA,0,0,18,0,0
"VLF1","VLF","B",1946,NA,NA,0,0,20,0,0
"VUF0","VUF","A",1946,NA,NA,0,0,28,0,0
"VUF1","VUF","B",1946,NA,NA,0,0,32,0,0
