"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","RW.modeled"
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1911,NA,0.0986367305730186
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1911,NA,0.0772014496317966
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1911,NA,0.0772014496317966
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1911,NA,0.0875583695232588
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1911,NA,0.0878303611261193
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1911,NA,0.0738265403706201
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1911,NA,0.0783078983645126
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1911,NA,0.0685305870878201
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1911,NA,0.116833911539236
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1911,NA,0.158334363872779
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1911,NA,0.0925856573415647
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1911,NA,0.13942738137607
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1911,NA,0.0783078983645126
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1911,NA,0.167456694762094
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1911,NA,0.273356208219515
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1912,NA,0.0997366864850584
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1912,NA,0.0780623681805687
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1912,NA,0.0780623681805687
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1912,NA,0.0566517273066728
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1912,NA,0.0899324776481151
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1912,NA,0.0902118441881491
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1912,NA,0.0580749945361059
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1912,NA,0.0758283157608912
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1912,NA,0.0804311838797623
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1912,NA,0.0616002151370324
