Site,Transect,Plot_Distance,Plot_Name,Plot_Radius,Tree_Tag_Number,Distance_From_Center,Bearing_From_Center,Species,Year,Start_Date,End_Date,Status,Multiple_Stems,Height,DBH_1,Percent_Dead,Decay_Class,Notes
MCON,Main,70,2,10,850,8.9,45,PIEN,2012,20-Jul-12,23-Jul-12,1,No,9.866666667,15.7,80,,
MCON,Main,70,2,10,851,8.5,45,ABLA,2012,20-Jul-12,23-Jul-12,2,No,5.6,10.9,100,,
MCON,Main,70,2,10,852,9,90,ABLA,2012,20-Jul-12,23-Jul-12,2,No,6.766666667,12.7,100,,
MCON,Main,70,2,10,853,9,90,PIEN,2012,20-Jul-12,23-Jul-12,2,No,8.133333333,11.8,100,,
MCON,Main,70,2,10,854,7.9,90,PIEN,2012,20-Jul-12,23-Jul-12,2,No,9.266666667,12.9,100,,
MCON,Main,70,2,10,855,6.2,90,PIEN,2012,20-Jul-12,23-Jul-12,2,No,4.633333333,9.6,100,,
MCON,Main,70,2,10,856,7.6,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,8.5,12.8,100,,
MCON,Main,70,2,10,857,8.42,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,7.5,9.4,100,,
MCON,Main,70,2,10,858,9.8,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,6.333333333,11,100,,
MCON,Main,70,2,10,859,4.4,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,7.166666667,15.1,100,,
MCON,Main,70,2,10,860,7.85,135,PIEN,2012,20-Jul-12,23-Jul-12,2,No,7.466666667,12.7,100,,
MCON,Main,70,2,10,861,6.6,180,PIEN,2012,20-Jul-12,23-Jul-12,2,No,5.466666667,10.7,100,,
MCON,Main,70,2,10,862,10,180,PIEN,2012,20-Jul-12,23-Jul-12,1,No,25.2,58.1,15,,
MCON,Main,70,2,10,863,5.48,180,ABLA,2012,20-Jul-12,23-Jul-12,1,No,4.633333333,10.1,5,,
MCON,Main,70,2,10,864,3.4,180,PIEN,2012,20-Jul-12,23-Jul-12,1,No,10.86666667,17.6,15,,
MCON,Main,70,2,10,865,10,180,ABLA,2012,20-Jul-12,23-Jul-12,1,No,6.9,12.5,10,,
MCON,Main,70,2,10,866,9.2,180,PIEN,2012,20-Jul-12,23-Jul-12,1,No,9.866666667,15.9,15,,
MCON,Right,35,3,10,867,9,225,POTR,2012,20-Jul-12,23-Jul-12,2,No,,37.3,100,,falling over - no height
MCON,Right,35,3,10,868,8.9,225,POTR,2012,20-Jul-12,23-Jul-12,2,No,3.7,40.4,100,9,stump
MCON,Right,35,3,10,869,6.7,180,PIEN,2012,20-Jul-12,23-Jul-12,1,No,14,40.2,25,,
MCON,Right,35,3,10,870,9,225,PIEN,2012,20-Jul-12,23-Jul-12,1,No,18.03333333,30.4,15,,"""Con 1"""
MCON,Right,35,3,10,871,8.9,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,7.266666667,21.3,100,,
MCON,Right,35,3,10,872,4.75,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,13.5,21.5,100,,
MCON,Right,35,3,10,873,6.8,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,15.3,31.7,100,,dead
MCON,Right,35,3,10,874,7.4,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,15.5,16.3,100,,dead
MCON,Right,35,3,10,875,8,225,PIEN,2012,20-Jul-12,23-Jul-12,2,No,12.9,13.8,100,,dead
MCON,Right,35,3,10,876,9.3,225,ABLA,2012,20-Jul-12,23-Jul-12,2,No,14,18.9,100,,
MCON,Right,35,3,10,877,8.6,270,PIEN,2012,20-Jul-12,23-Jul-12,1,No,15.23333333,19.2,10,,
MCON,Right,35,3,10,878,9.4,270,ABLA,2012,20-Jul-12,23-Jul-12,2,No,12.7,16.8,100,,
MCON,Right,35,3,10,879,3.9,270,POTR,2012,20-Jul-12,23-Jul-12,1,No,21.1,40.4,5,,"angled (height may be wrong), ""POTR 1"""
MCON,Right,35,3,10,880,9.3,270,PIEN,2012,20-Jul-12,23-Jul-12,1,No,18.4,24.2,25,,
MCON,Right,35,3,10,881,6.5,270,PIEN,2012,20-Jul-12,23-Jul-12,2,No,6.5,10.1,100,,
MCON,Right,35,3,10,882,1.2,270,PIEN,2012,20-Jul-12,23-Jul-12,2,No,12.3,24.1,100,,
MCON,Right,35,3,10,883,8.1,315,PIEN,2012,20-Jul-12,23-Jul-12,1,No,15.8,35.8,20,,
MCON,Right,35,3,10,884,6.1,315,PIEN,2012,20-Jul-12,23-Jul-12,2,No,5.733333333,11.1,100,,
MCON,Right,35,3,10,885,7.3,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,13.13333333,31.8,35,,
MCON,Right,35,3,10,886,7.1,0,PIEN,2012,20-Jul-12,23-Jul-12,1,No,16.76666667,25.3,10,,
