Site,Transect,Plot_Distance,Plot_Name,Plot_Radius,Tree_Tag_Number,Distance_From_Center,Bearing_From_Center,Species,Year,Start_Date,End_Date,Status,Multiple_Stems,Canopy_Shape,Height,Height_to_Canopy,DBH_1,Percent_Dead,Decay_Class,Notes
PPINE,Left,35,4,10,484,8.04,288,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,22,11.9,28,20,1,
PPINE,Left,35,4,10,485,8.55,294,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,18.4,12.8,17.8,40,1,
PPINE,Left,35,4,10,486,3,291,PIPO,2013,15-Aug-13,15-Aug-13,2,No,,,,11.6,100,3,
PPINE,Left,35,4,10,487,4.9,287,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,24.1,11.4,33.4,30,1,
PPINE,Left,35,4,10,488,9.15,311,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,20.4,14,25.2,40,1,
PPINE,Left,35,4,10,489,6.72,312,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CY,21,12.7,20.7,35,1,
PPINE,Left,35,4,10,490,2,315,PIPO,2013,15-Aug-13,15-Aug-13,2,No,,,,,100,8,Down
PPINE,Left,35,4,10,491,1.8,345,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,19.9,10.9,25,10,1,
PPINE,Left,35,4,10,492,6.5,339,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,23.1,14.4,28.3,30,1,
PPINE,Left,35,4,10,493,6.3,343,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,20.4,12.2,26.8,10,1,
PPINE,Left,35,4,10,494,3,2,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,19,13.1,22.7,20,1,
PPINE,Left,35,4,10,495,9.6,345,PIPO,2013,15-Aug-13,15-Aug-13,2,No,,18.9,,14.9,100,4,
PPINE,Left,35,4,10,496,8.5,12,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,18.3,13,18.7,60,1,
PPINE,Left,35,4,10,497,7.1,19,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,15.5,12.4,14.1,50,1,
PPINE,Left,35,4,10,498,8,23,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,16.7,12.7,17,70,1,
PPINE,Left,35,4,10,499,6.5,27,PIPO,2013,15-Aug-13,15-Aug-13,1,No,S,15.3,12.4,20.3,20,1,
PPINE,Left,35,4,10,500,4,28,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,17,11,14.7,35,1,
PPINE,Left,35,4,10,927,9.8,53,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,18.2,11.5,13.5,40,1,
PPINE,Left,35,4,10,928,7.7,52,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CY,15.4,10.6,19,30,1,
PPINE,Left,35,4,10,929,4,67,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,19,10,29.8,15,1,
PPINE,Left,35,4,10,930,4.9,77,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,20.2,11.6,32.7,40,1,
PPINE,Left,35,4,10,931,10,106,PIPO,2013,15-Aug-13,15-Aug-13,2,No,,,,13,100,3,
PPINE,Left,35,4,10,932,9,136,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,19.7,11,21.9,30,1,
PPINE,Left,35,4,10,933,8.5,143,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,20.5,10.6,26.8,20,1,
PPINE,Left,35,4,10,934,9.35,143,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,19,11.1,28.4,40,1,
PPINE,Left,35,4,10,935,9.7,152,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,14.2,8.1,14,70,1,
PPINE,Left,35,4,10,936,9.9,156,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,21,11.6,33.5,30,1,
PPINE,Left,35,4,10,937,4.5,161,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,17.5,11.1,14.3,30,1,
PPINE,Left,35,4,10,938,5,167,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,20,12,38.6,30,1,
PPINE,Left,35,4,10,939,1.85,185,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,18,10.1,20,30,1,
PPINE,Left,35,4,10,1939,9.9,335,ABCO,2013,15-Aug-13,15-Aug-13,1,No,CN,5,0,19.9,5,1,New. Should be retagged with different number. Combined in 2014.
PPINE,Left,35,4,10,1940,5,92,PIPO,2013,15-Aug-13,15-Aug-13,2,No,,3,,13.2,100,3,New. Should be retagged with different number.
PPINE,Left,35,4,10,940,5.6,185,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,15.8,10.7,16.5,45,1,
PPINE,Left,35,4,10,1941,2.75,135,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,4.3,3.4,27.4,40,1,New. Should be retagged with different number.
PPINE,Left,35,4,10,941,8.05,193,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,21,11,21.9,35,1,
PPINE,Left,35,4,10,942,6.35,202,PIPO,2013,15-Aug-13,15-Aug-13,1,No,E,16,11,20.5,30,1,
PPINE,Left,35,4,10,943,8.15,221,PIPO,2013,15-Aug-13,15-Aug-13,1,No,CN,17.8,9.9,20.2,30,1,
